Accession	126C	127-N	127C	128-N	128C	129-N	129C	130-N	130C
sp|A5Z2X5|YP010_YEAST	29608	31592	36138	40987	40640	40058	125140	94933	106600
sp|O13297|CET1_YEAST	468300	419350	492830	438950	455490	437770	490110	402770	441230
sp|O13329|FOB1_YEAST	100060	83899	97540	92140	82702	83294	115440	103700	116550
sp|O13516|RS9A_YEAST	6030.6	5929.2	7737.1	3482.3	856.53	656.93	1298.7	1194.7	1357.1
sp|O13525|COQ4_YEAST	104190	97245	110500	128730	103610	124320	136600	104660	117880
sp|O13535|YH11B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|Q12485|YG12A_YEAST;sp|Q12217|YB12A_YEAST;sp|Q04706|YM11A_YEAST;sp|Q03856|YD11A_YEAST;sp|P47099|YJ12A_YEAST;sp|P0CX69|YM14A_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0CX59|YO12A_YEAST;sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|O74302|YD13A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q12441|YD12A_YEAST	3810.8	3677.7	4230.9	12473	8754.9	11217	2180.8	2046.4	1412.7
sp|O13539|THP2_YEAST	43535	43651	48741	54024	59750	53106	33881	27543	29369
sp|O13547|CCW14_YEAST	15509	11641	13545	9080.3	7296.5	7362.7	60963	59386	64326
sp|O13563|RPN13_YEAST	131550	116290	143380	124370	133490	113450	112930	89215	103380
sp|O13577|DIF1_YEAST	2030.3	2847.4	2717.1	1737.4	1664.1	1676.2	1897.1	1552	1682.7
sp|O13585|YP089_YEAST	158620	146620	163090	180630	153050	166960	162560	146500	149180
sp|O14455|RL36B_YEAST	1333100	1215000	1435700	903740	822150	815640	947170	795950	913960
sp|O14464|RTC6_YEAST	61657	59362	69184	45352	42544	35811	63611	60783	69881
sp|O14467|MBF1_YEAST	938550	854620	1052600	619480	614370	569060	765690	643110	669200
sp|O14468|YO304_YEAST	15323	15678	15633	29677	26109	23689	13713	9308.6	9399.6
sp|O43137|YB085_YEAST	241430	244830	275260	314270	439570	379140	304170	258000	256990
sp|O60200|MDM35_YEAST	22843	21560	25708	19631	20171	16382	23505	18436	22937
sp|O74700|TIM9_YEAST	119710	116810	136430	92897	99628	85233	159510	142420	157260
sp|O75012|MRP10_YEAST	53385	44990	50178	23758	20120	19452	40722	40309	44376
sp|O94742|SEM1_YEAST	19130	21816	22198	17633	18526	18776	21179	17688	21049
sp|P00044|CYC1_YEAST	647460	612840	707210	406960	388080	376060	825510	699190	783900
sp|P00045|CYC7_YEAST	272920	231620	281710	178260	174810	166440	290520	229170	289670
sp|P00127|QCR6_YEAST	215840	173520	203520	93879	87820	87486	302750	260490	301060
