Raw file	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]
m02846	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6314	30878	30878	34413	27343	0	7070	5745	5611	0	134	16.69	20.52	NaN	1.9	4571	607920	28508	4.69	1415	4.96	94963	24551	24189	25.85	29.2	2442	9.95	+	0.44265	0.67881	164780	173470
m02847	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6556	30394	30394	35184	25604	0	9580	5731	5531	0	200	16.29	21.6	NaN	2.09	4377	588535	27571	4.68	1537	5.57	87647	22778	22335	25.99	29.18	2435	10.69	+	0.41702	0.63707	168080	176540
m02848	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6584	30563	30563	35548	25578	0	9970	5759	5527	0	232	16.2	21.61	NaN	2.33	4269	590411	27502	4.66	1635	5.95	87165	22618	22203	25.95	29.59	2551	11.28	+	0.42302	0.63475	168190	176700
m02849	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6720	30237	30237	35353	25121	0	10232	5590	5378	0	212	15.81	21.41	NaN	2.07	4235	577746	27201	4.71	1565	5.75	84779	22205	21750	26.19	29.73	2482	11.18	+	0.43237	0.6724	168560	177050
m02850	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6277	30916	30934	35383	26449	0	8934	5814	5609	0	205	16.43	21.21	NaN	2.29	4496	579699	28057	4.84	1623	5.78	87801	23505	23076	26.77	30.29	2575	10.96	+	0.41101	0.63233	167660	176430
m02851	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6124	30680	30680	34520	26840	0	7680	6031	5847	0	184	17.47	21.78	NaN	2.4	4675	616510	28206	4.58	1498	5.31	95155	24045	23654	25.27	28.27	2396	9.96	+	0.40018	0.60554	163040	172220
m02852	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6242	31297	31306	35087	27507	0	7580	6916	6688	0	228	19.71	24.31	NaN	3.01	5441	632017	28804	4.56	1515	5.26	100484	24837	24407	24.72	27.79	2319	9.34	+	0.42019	0.65523	164850	173980
m02853	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6296	30974	30974	34916	27032	0	7884	6548	6331	0	217	18.75	23.42	NaN	2.75	5085	638382	28451	4.46	1463	5.14	99062	24248	23829	24.48	27.37	2418	9.97	+	0.43076	0.65793	164880	173740
m02854	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6159	31295	31295	35275	27315	0	7960	6449	6259	0	190	18.28	22.91	NaN	2.39	5083	627993	28746	4.58	1475	5.13	99084	24494	24066	24.72	27.88	2423	9.89	+	0.41275	0.62659	165020	174190
m02855	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS3		6250	30800	30800	34782	26818	0	7964	6277	6048	0	229	18.05	22.55	NaN	2.88	4872	633670	28082	4.43	1554	5.53	97017	23929	23532	24.66	27.8	2435	10.18	+	0.41194	0.62888	166190	175290
