"gal-1_tmm"	"gal-2_tmm"	"gal-3_tmm"	"glu-1_tmm"	"glu-2_tmm"	"glu-3_tmm"	"logFC"	"FC"	"PValue"	"FDR"	"ave_gal"	"ave_glu"	"direction"	"candidate"	"Acc"	"gal-1_tmm"	"gal-2_tmm"	"gal-3_tmm"	"raf-1_tmm"	"raf-2_tmm"	"raf-3_tmm"	"logFC"	"FC"	"PValue"	"FDR"	"ave_gal"	"ave_raf"	"direction"	"candidate"	"Acc"	"glu-1_tmm"	"glu-2_tmm"	"glu-3_tmm"	"raf-1_tmm"	"raf-2_tmm"	"raf-3_tmm"	"logFC"	"FC"	"PValue"	"FDR"	"ave_glu"	"ave_raf"	"direction"	"candidate"	"Acc"
411450.073648822	485961.652589574	471660.858530726	481177.624362823	515811.146236874	519406.139782699	0.147447201129922	1.10760738857255	0.0400486474865283	0.0481948359788835	456357.528256374	505464.970127465	"up"	"med"	"sp|A5Z2X5|YP010_YEAST"	411450.073648822	485961.652589574	471660.858530726	1867064.83143018	1967022.62533306	2020623.62127653	2.09639970441944	4.27640662969458	3.61969129639138e-173	2.63671887871509e-171	456357.528256374	1951570.35934659	"up"	"high"	"sp|A5Z2X5|YP010_YEAST"	481177.624362823	515811.146236874	519406.139782699	1867064.83143018	1967022.62533306	2020623.62127653	1.94895248937881	3.86094086570322	1.91186164382079e-151	6.50591166678287e-150	505464.970127465	1951570.35934659	"up"	"high"	"sp|A5Z2X5|YP010_YEAST"
6720382.20771867	6464186.1972601	6567444.53213585	5837050.52796684	5913064.29086686	5766288.91529367	-0.173293143685401	-1.1276294630405	0.000200571119300059	0.000285515284939504	6584004.31237154	5838801.24470912	"down"	"high"	"sp|O13297|CET1_YEAST"	6720382.20771867	6464186.1972601	6567444.53213585	6521110.4143644	6154723.28489594	6275202.0176727	-0.0597228412337586	-1.04226561714861	0.199913257894213	0.240950260678081	6584004.31237154	6317011.90564435	"down"	"no"	"sp|O13297|CET1_YEAST"	5837050.52796684	5913064.29086686	5766288.91529367	6521110.4143644	6154723.28489594	6275202.0176727	0.113570302444841	1.08190219890916	0.0147993518873074	0.0183887469346022	5838801.24470912	6317011.90564435	"up"	"med"	"sp|O13297|CET1_YEAST"
878602.93753161	820510.744280011	837034.703520014	791928.368344059	733937.805678684	737780.35780841	-0.163990384814187	-1.120381804168	0.00483441383307463	0.006290269966451	845382.795110545	754548.843943718	"down"	"high"	"sp|O13329|FOB1_YEAST"	878602.93753161	820510.744280011	837034.703520014	887085.319020677	938284.041538828	948438.14650425	0.129227300707836	1.09370868167915	0.0263621796263471	0.0365993095348512	845382.795110545	924602.502354585	"up"	"med"	"sp|O13329|FOB1_YEAST"	791928.368344059	733937.805678684	737780.35780841	887085.319020677	938284.041538828	948438.14650425	0.293217684180751	1.22537130601389	4.76658601946474e-07	7.71859118539236e-07	754548.843943718	924602.502354585	"up"	"high"	"sp|O13329|FOB1_YEAST"
1291478.4849795	1290625.87024171	1306684.29819861	1562660.29388859	1348804.74021347	1583239.59913063	0.208905594086993	1.15581098223994	0.00278578038816232	0.00367808217774362	1296262.88447328	1498234.87774423	"up"	"high"	"sp|O13525|COQ4_YEAST"	1291478.4849795	1290625.87024171	1306684.29819861	1597826.54236141	1456354.45308924	1497706.66853463	0.22714465871658	1.17051556915605	0.00114887774576415	0.00190066289948632	1296262.88447328	1517295.8879951	"up"	"high"	"sp|O13525|COQ4_YEAST"	1562660.29388859	1348804.74021347	1583239.59913063	1597826.54236141	1456354.45308924	1497706.66853463	0.0182390639883201	1.01272231112358	0.793941698812614	0.812413564500528	1498234.87774423	1517295.8879951	"up"	"no"	"sp|O13525|COQ4_YEAST"
361407.215900223	399123.124714234	385467.771185235	575733.868605248	674840.20856359	588988.445939816	0.682758310085709	1.60520554455345	1.39536792631878e-18	4.05308739719511e-18	381999.370599897	613187.507702885	"up"	"high"	"sp|O13539|THP2_YEAST"	361407.215900223	399123.124714234	385467.771185235	300845.079286139	292221.786621853	279896.608009725	-0.392610015900726	-1.31276753958174	3.89307530758019e-07	8.95388114649179e-07	381999.370599897	290987.824639239	"down"	"high"	"sp|O13539|THP2_YEAST"	575733.868605248	674840.20856359	588988.445939816	300845.079286139	292221.786621853	279896.608009725	-1.07536831567866	-2.10726173324641	4.17674232339265e-43	2.19526186151708e-42	613187.507702885	290987.824639239	"down"	"high"	"sp|O13539|THP2_YEAST"
153817.410249281	129027.838219391	132066.921378102	109383.629527004	98054.0094003273	98535.7460306375	-0.43939926181735	-1.35604006833395	8.8590324521376e-07	1.44915120322335e-06	138304.056615591	101991.128319323	"down"	"high"	"sp|O13547|CCW14_YEAST"	153817.410249281	129027.838219391	132066.921378102	581972.543565859	654083.9089532	647714.090728427	2.18274102525693	4.54016700436422	1.65292867230512e-121	6.94230042368152e-120	138304.056615591	627923.514415829	"up"	"high"	"sp|O13547|CCW14_YEAST"	109383.629527004	98054.0094003273	98535.7460306375	581972.543565859	654083.9089532	647714.090728427	2.62214022973464	6.15664837484559	9.7079390132301e-169	4.00516917519281e-167	101991.128319323	627923.514415829	"up"	"high"	"sp|O13547|CCW14_YEAST"
1969359.51696734	1995297.25940753	2117893.02544743	1743184.03992974	2052540.68912923	1705234.21848353	-0.144993386087012	-1.10572535803773	0.0631541141711756	0.074481275048323	2027516.60060743	1833652.98251416	"down"	"low"	"sp|O13563|RPN13_YEAST"	1969359.51696734	1995297.25940753	2117893.02544743	1821536.56477906	1695690.64793448	1854853.07748556	-0.179195081221098	-1.13225221389922	0.0216669277504422	0.0304801500218955	2027516.60060743	1790693.43006637	"down"	"med"	"sp|O13563|RPN13_YEAST"	1743184.03992974	2052540.68912923	1705234.21848353	1821536.56477906	1695690.64793448	1854853.07748556	-0.0342016947353465	-1.02399045628162	0.661107558629537	0.687504670606937	1833652.98251416	1790693.43006637	"down"	"no"	"sp|O13563|RPN13_YEAST"
12057.3766760442	17661.5202623862	14971.4138744846	11247.4097580324	11222.2230281272	11231.0512928936	-0.40713874658532	-1.32609506406704	0.00131615637132699	0.00177492652679388	14896.7702709717	11233.5613596844	"down"	"high"	"sp|O13577|DIF1_YEAST"	12057.3766760442	17661.5202623862	14971.4138744846	11063.7214617112	10208.29530733	9894.4668812092	-0.519901304344866	-1.43392213617772	4.16652124497349e-05	8.01664137188049e-05	14896.7702709717	10388.8278834168	"down"	"high"	"sp|O13577|DIF1_YEAST"	11247.4097580324	11222.2230281272	11231.0512928936	11063.7214617112	10208.29530733	9894.4668812092	-0.112762375233593	-1.08131172118233	0.373364620139882	0.401899297873963	11233.5613596844	10388.8278834168	"down"	"no"	"sp|O13577|DIF1_YEAST"
1330785.37947527	1383382.40853631	1299681.91454206	1631795.47383159	1392931.78406739	1556822.92609922	0.190849880116511	1.14143541076872	0.0056544989223117	0.00731444893890597	1337949.90085121	1527183.39466607	"up"	"high"	"sp|O13585|YP089_YEAST"	1330785.37947527	1383382.40853631	1299681.91454206	1329052.20488477	1407757.05020673	1284131.18162782	0.00254611085643648	1.00176656693477	0.970543375072092	0.975355295233044	1337949.90085121	1340313.47890644	"up"	"no"	"sp|O13585|YP089_YEAST"	1631795.47383159	1392931.78406739	1556822.92609922	1329052.20488477	1407757.05020673	1284131.18162782	-0.188303768972363	-1.13942254457673	0.00632816765555329	0.0081071496592991	1527183.39466607	1340313.47890644	"down"	"high"	"sp|O13585|YP089_YEAST"
36111615.6308803	31730766.2760547	34618383.0198122	16970204.2394609	16118915.2135932	15052601.9426668	-1.08971193460084	-2.12831535633153	3.06516485230938e-55	3.7803699845149e-54	34153588.3089157	16047240.4652403	"down"	"high"	"sp|O14455|RL36B_YEAST"	36111615.6308803	31730766.2760547	34618383.0198122	18832713.379383	18278481.2871152	20075356.3246172	-0.841323755064923	-1.79169338159011	6.28440462424795e-34	5.26940546011582e-33	34153588.3089157	19062183.6637052	"down"	"high"	"sp|O14455|RL36B_YEAST"	16970204.2394609	16118915.2135932	15052601.9426668	18832713.379383	18278481.2871152	20075356.3246172	0.248388179630756	1.18787923101143	0.000308851810509744	0.000429042652144347	16047240.4652403	19062183.6637052	"up"	"high"	"sp|O14455|RL36B_YEAST"
